,team1,team2,result,date
21,parma,sampdoria,P,2021-01-24
25,juventus,bologna,V,2021-01-24
21,genoa,cagliari,V,2021-01-24
20,hellas verona,napoli,V,2021-01-24
22,torino,fiorentina,N,2021-01-29
27,inter,benevento,V,2021-01-30
21,sampdoria,juventus,P,2021-01-30
21,bologna,milan,P,2021-01-30
27,napoli,parma,V,2021-01-31
23,spezia,udinese,P,2021-01-31
27,atalanta,lazio,P,2021-01-31
20,crotone,genoa,P,2021-01-31
26,roma,hellas verona,V,2021-01-31
22,cagliari,sassuolo,N,2021-01-31
23,fiorentina,inter,P,2021-02-05
21,sassuolo,spezia,P,2021-02-06
29,juventus,roma,V,2021-02-06
23,genoa,napoli,V,2021-02-06
29,atalanta,torino,N,2021-02-06
21,benevento,sampdoria,N,2021-02-07
28,lazio,cagliari,V,2021-02-07
22,udinese,hellas verona,V,2021-02-07
31,milan,crotone,V,2021-02-07
23,parma,bologna,P,2021-02-07
23,bologna,benevento,N,2021-02-12
25,spezia,milan,V,2021-02-13
24,torino,genoa,N,2021-02-13
31,napoli,juventus,V,2021-02-13
31,inter,lazio,V,2021-02-14
23,sampdoria,fiorentina,V,2021-02-14
28,roma,udinese,V,2021-02-14
24,cagliari,atalanta,P,2021-02-14
22,crotone,sassuolo,P,2021-02-14
23,hellas verona,parma,V,2021-02-15
25,cagliari,torino,P,2021-02-19
25,fiorentina,spezia,V,2021-02-19
25,genoa,hellas verona,N,2021-02-20
30,lazio,sampdoria,V,2021-02-20
23,sassuolo,bologna,N,2021-02-20
23,benevento,roma,N,2021-02-21
34,milan,inter,P,2021-02-21
32,atalanta,napoli,V,2021-02-21
25,parma,udinese,N,2021-02-21
33,juventus,crotone,V,2021-02-22
27,spezia,parma,N,2021-02-27
25,bologna,lazio,V,2021-02-27
25,hellas verona,juventus,N,2021-02-27
25,sampdoria,atalanta,P,2021-02-28
33,inter,genoa,V,2021-02-28
32,roma,milan,P,2021-02-28
35,napoli,benevento,V,2021-02-28
24,crotone,cagliari,P,2021-02-28
25,udinese,fiorentina,V,2021-02-28
35,juventus,spezia,V,2021-03-02
27,cagliari,bologna,V,2021-03-03
37,milan,udinese,N,2021-03-03
27,genoa,sampdoria,N,2021-03-03
25,benevento,hellas verona,P,2021-03-03
27,fiorentina,roma,P,2021-03-03
24,sassuolo,napoli,N,2021-03-03
35,atalanta,crotone,V,2021-03-03
27,parma,inter,P,2021-03-04
29,spezia,benevento,N,2021-03-06
36,juventus,lazio,V,2021-03-06
27,udinese,sassuolo,V,2021-03-06
28,fiorentina,parma,N,2021-03-07
34,roma,genoa,V,2021-03-07
27,hellas verona,milan,P,2021-03-07
26,crotone,torino,V,2021-03-07
37,napoli,bologna,V,2021-03-07
27,sampdoria,cagliari,N,2021-03-07
35,inter,atalanta,V,2021-03-08
34,lazio,crotone,V,2021-03-12
37,atalanta,spezia,V,2021-03-12
27,benevento,fiorentina,P,2021-03-13
29,genoa,udinese,N,2021-03-13
26,sassuolo,hellas verona,V,2021-03-13
29,parma,roma,V,2021-03-14
29,cagliari,juventus,P,2021-03-14
27,torino,inter,P,2021-03-14
40,milan,napoli,P,2021-03-14
28,bologna,sampdoria,V,2021-03-14
28,torino,sassuolo,V,2021-03-17
30,parma,genoa,P,2021-03-19
28,crotone,bologna,P,2021-03-20
31,spezia,cagliari,V,2021-03-20
29,sampdoria,torino,V,2021-03-21
30,fiorentina,milan,P,2021-03-21
39,juventus,benevento,P,2021-03-21
29,udinese,lazio,P,2021-03-21
38,roma,napoli,P,2021-03-21
29,hellas verona,atalanta,P,2021-03-21
40,atalanta,udinese,V,2021-04-03
40,napoli,crotone,V,2021-04-03
29,benevento,parma,N,2021-04-03
31,cagliari,hellas verona,P,2021-04-03
28,sassuolo,roma,N,2021-04-03
31,genoa,fiorentina,N,2021-04-03
43,milan,sampdoria,N,2021-04-03
30,torino,juventus,N,2021-04-03
30,bologna,inter,P,2021-04-03
37,lazio,spezia,V,2021-04-03
38,inter,sassuolo,V,2021-04-07
41,juventus,napoli,V,2021-04-07
31,udinese,torino,P,2021-04-10
33,spezia,crotone,V,2021-04-10
32,parma,milan,P,2021-04-10
41,roma,bologna,V,2021-04-11
31,hellas verona,lazio,P,2021-04-11
32,fiorentina,atalanta,P,2021-04-11
39,inter,cagliari,V,2021-04-11
31,sampdoria,napoli,P,2021-04-11
42,juventus,genoa,V,2021-04-11
30,benevento,sassuolo,P,2021-04-12
32,sampdoria,hellas verona,V,2021-04-17
33,cagliari,parma,V,2021-04-17
31,sassuolo,fiorentina,V,2021-04-17
31,crotone,udinese,P,2021-04-17
43,napoli,inter,N,2021-04-18
45,milan,genoa,V,2021-04-18
39,lazio,benevento,V,2021-04-18
32,torino,roma,V,2021-04-18
32,bologna,spezia,V,2021-04-18
42,atalanta,juventus,V,2021-04-18
33,hellas verona,fiorentina,P,2021-04-20
35,spezia,inter,N,2021-04-21
33,udinese,cagliari,P,2021-04-21
44,juventus,parma,V,2021-04-21
33,bologna,torino,N,2021-04-21
32,crotone,sampdoria,P,2021-04-21
34,genoa,benevento,N,2021-04-21
46,milan,sassuolo,P,2021-04-21
44,napoli,lazio,V,2021-04-22
44,roma,atalanta,N,2021-04-22
33,sassuolo,sampdoria,V,2021-04-24
35,genoa,spezia,V,2021-04-24
35,parma,crotone,P,2021-04-24
42,inter,hellas verona,V,2021-04-25
44,atalanta,bologna,V,2021-04-25
33,benevento,udinese,P,2021-04-25
35,fiorentina,juventus,N,2021-04-25
35,cagliari,roma,V,2021-04-25
41,lazio,milan,V,2021-04-26
34,torino,napoli,P,2021-04-26
35,hellas verona,spezia,N,2021-05-01
48,milan,benevento,V,2021-05-01
34,crotone,inter,P,2021-05-01
42,lazio,genoa,V,2021-05-02
35,udinese,juventus,P,2021-05-02
35,bologna,fiorentina,N,2021-05-02
34,sassuolo,atalanta,N,2021-05-02
35,sampdoria,roma,V,2021-05-02
46,napoli,cagliari,N,2021-05-02
35,torino,parma,V,2021-05-03
38,spezia,napoli,P,2021-05-08
36,udinese,bologna,N,2021-05-08
44,inter,sampdoria,V,2021-05-08
37,fiorentina,lazio,V,2021-05-08
47,juventus,milan,P,2021-05-09
35,benevento,cagliari,P,2021-05-09
49,roma,crotone,V,2021-05-09
37,parma,atalanta,P,2021-05-09
36,hellas verona,torino,N,2021-05-09
37,genoa,sassuolo,P,2021-05-09
48,napoli,udinese,V,2021-05-11
36,sassuolo,juventus,P,2021-05-12
37,sampdoria,spezia,N,2021-05-12
47,atalanta,benevento,V,2021-05-12
45,inter,roma,V,2021-05-12
37,bologna,genoa,P,2021-05-12
37,torino,milan,P,2021-05-12
38,cagliari,fiorentina,N,2021-05-12
44,lazio,parma,V,2021-05-12
36,crotone,hellas verona,V,2021-05-13
49,juventus,inter,V,2021-05-15
40,spezia,torino,V,2021-05-15
51,roma,lazio,V,2021-05-15
39,genoa,atalanta,P,2021-05-15
38,udinese,sampdoria,P,2021-05-16
39,parma,sassuolo,P,2021-05-16
37,benevento,crotone,N,2021-05-16
51,milan,cagliari,N,2021-05-16
39,fiorentina,napoli,P,2021-05-16
38,hellas verona,bologna,N,2021-05-17
46,lazio,torino,N,2021-05-18
39,sampdoria,parma,V,2021-05-22
38,crotone,fiorentina,N,2021-05-22
40,cagliari,genoa,P,2021-05-22
50,atalanta,milan,P,2021-05-23
39,bologna,juventus,P,2021-05-23
40,torino,benevento,N,2021-05-23
50,napoli,hellas verona,N,2021-05-23
38,sassuolo,lazio,V,2021-05-23
41,spezia,roma,N,2021-05-23
47,inter,udinese,V,2021-05-23
