,home,away,date,result,description,prediction
26,Milan,Brescia,2019-08-31,V,"Stadio Giuseppe Meazza will host Saturday’s football game between Milan and Brescia, the two teams with entirely different ambitions in the 2019/2020 season. The Rossoneri suffered a 1-0 loss to Udinese in the opening match of the season, meaning that they are desperate to pick up all three points from the Brescia game. Seeing that key player Mario Balotelli misses the game through suspension for the visitors, we believe that home win should be considered. 

The newcomers did defeat Cagliari in Sardinia in their opener, but they will have a much bigger fish to fry in the Stadio Giuseppe Meazza clash. A man to watch in the home team will be Krzysztof Piatek, the Poland international who is eager to open his goal-scoring account. You should know that Milan and Brescia meet in the Serie A for the first time since 2011 when the Rossoneri defeated le Rondinelle. ",V
27,Juventus,Napoli,2019-08-31,V,"There will be fireworks when Juventus and Napoli face each other in the Serie A derby on Matchday 20. The Bianconeri aim to build on back-to-back wins over Bologna and Cagliari, and a triumph over Napoli will see them keep their Scudetto hopes alive. Danilo is sidelined with injury, while all Chiellini, Arthur, Ramsey, De Winter, and Pinsoglio have been tested positive for coronavirus. 

The Neapolitans, on the other hand, made a flying start to the season, but they do not seem to be at their sharpest ahead of the trip to Turin. Luciano Spalletti’s troops suffered three defeats in the previous four league fixtures, and given Juve’s signs of improvement, we believe that home win should be considered. Mario Rui is banned for the visitors, while all Elmas, Lozano, and Osimhen miss out through coronavirus infection. In the first half of the season Napoli defeated Juventus 2-1, meaning that the “Old Lady” is hungry for revenge.",V
30,Cagliari,Inter,2019-09-01,P,"Sunday’s Serie A game at Unipol Domus pits together Cagliari and Inter, the two teams with entirely different ambitions in the season finale. The Rossoblu are fighting hard to secure the elite division survival, while the Nerazzurri aim to keep their Scudetto hopes alive. Cagliari showed character in a 1-1 draw with Salernitana, with defender Giorgio Altare scoring the equalizer in the stoppage time. 

First-choice goalkeeper Boris Radunovic is banned for the match, while Nandez continues to miss out with injury. Simone Inzaghi’s troops, on the other hand, aim to build on a come-from-behind 4-2 win over Empoli. A lively contest is on the cards in Sardinia, but we are tempted to put our money on the title-chasing visitors who are more of a team than Cagliari. There are no fresh injury worries in the away team ahead of Sunday’s showdown. ",P
46,Genoa,Fiorentina,2019-09-01,V,"Stadio Luigi Ferraris will host Saturday’s football game between Genoa and Fiorentina, who defeated Cagliari (3-2) and Atalanta (2-1) respectively on Matchday 3. The Rossoblu regained a much-needed confidence at the weekend, but they will have a big fish to fry against Fiorentina. Summer signing Mohamed Fares should be handed his full Genoa debut after scoring a brace in the triumph over Cagliari, while both Caicedo and Badelj are sidelined with injuries. 

The Viola, on the other hand, continue to rely on Serbia rising star Dusan Vlahovic, who scored a brace in the triumph over Atalanta, and given their attacking potential, we believe that punters from all four corners of the world can find value in betting on both teams to score. Defender Lorenzo Venuti misses the match through injury, but the 26-year-old should be the only absentee in the away team. ",N
43,Lazio,Roma,2019-09-01,N,"There will be fireworks when Lazio and Roma square off against each other in the Rome derby on Matchday 6. The Biancocelesti aim to put an end to their three-game winless run, and they are likely to adopt an attack-minded approach in Sunday’s showdown. Ciro Immobile, who scored a late equalizer from the penalty spot in the midweek draw with Torino, is likely to lead the line for the hosts. 

The Romans, on the other hand, recorded a hard-fought 1-0 win over Udinese on Thursday evening, with the team retaining their spot in top four. The Giallorossi are likely to go for a win in the local derby as well, and, taking everything into account, we believe that there is a big value in betting on both teams to score. Pellegrini is banned for the visitors, while Spinazzola remains on the sidelines with a long-term injury. ",N
33,Udinese,Parma,2019-09-01,P,"Sunday’s football game at Dacia Arena pits together Udinese and Parma. Udinese made a slow start to the season, with the team losing to Verona, Spezia, and Roma, meaning that they are low on confidence ahead of the visit of Parma. The Zebrette have yet to find the net in the new Serie A campaign, but they should not be underestimated when playing at home ground. 

The likes of Jajalo, Mandragora, and Musso are definitely out of contention with injury, while Stryger Larsen, Deulofeu, and Wallace are rated doubtful for the hosts. Parma, on the other hand, aim to build on a hard-fought 1-0 win over Verona, but seeing that they are not regarded as good travellers, we are tempted to put our money on draw. The likes of Scozzarella and Cornelius should be the only absentees in the away team ahead of the trip to Udine. ",N
35,Lecce,Hellas Verona,2019-09-01,P,"Stadio Comunale Via del Mare will be packed when Lecce and Hellas Verona square off against each other on day 2 of the new Serie A campaign. The Giallorossi are eager to impress in their first home game of the season and they will not have a better chance than this to pick up all three points as Verona are seen as one of the main candidates to suffer relegation at the end of the season. 

The Mastini played out a 1-1 draw with Bologna at home in their opener, with Polish defender Pawel Dawidowicz being sent off after 13 minutes. The 24-year-old is out of contention through suspension and seeing that Verona are not regarded as good travelers, we are tempted to put our money on Fabio Liverani’s charges. A man to keep an eye on in the home team will be summer signing Gianluca Lapadula.",V
40,Sassuolo,Sampdoria,2019-09-01,V,"After beating Verona in the “City of Love” in their opener, Sassuolo will be aiming to give fans yet another reason for celebration when they take on Sampdoria on Matchday 2. The Neroverdi kicked off the new Serie A campaign in style, but they should not stop now. Sassuolo are likely to stick to their attacking style of play, and seeing that all Bourabia, Obiang, and Berardi are eyeing return to the squad, home win should be considered. 

La Samp, on the other hand, are a real force to be reckoned with at home, but they often struggle on the travels. Given Sassuolo’s display in the triumph over Verona, we predict that the visitors are going to return to Genoa empty-handed. In their last meeting at the venue Sassuolo defeated Sampdoria 1-0, and we predict that the history is going to repeat itself. Midfielder Fabio Depaoli should be fit for Sunday’s showdown.",V
36,Atalanta,Torino,2019-09-01,P,"Atalanta will look to record their third win of the season when they face Torino in the Serie A round 4. The Orobici did well to beat Verona in the City of Love at the weekend, meaning that they are high on spirits ahead of the visit of Torino. All Berat Djimsiti, Marco Carnesecchi, and Davide Zappacosta are out of contention through injuries, while Luis Muriel could earn a spot in the starting XI this time out. 

Il Toro made a promising start to the season as well, with the team beating both Monza and Cremonese, while sharing the spoils with Lazio. Ivan Juric has no fresh selection worries, but both Alexey Miranchuk and David Zima remain in the recovery room. In their last encounter in the Italian top flight the two teams played out a thrilling 4-4 draw, and given their fine forms at the start of the season, yet another high-scoring affair is on the horizon.",N
56,Napoli,Sampdoria,2019-09-14,V,"After sharing the spoils with Juventus in the Serie A derby, Napoli will be aiming to return to winning ways when they host Sampdoria to their Stadio Diego Armando Maradona on Matchday 21. All Ounas, Koulibaly, and Anguissa are on international duty, while key attacker Victor Osimhen misses out with a broken cheekbone. Since all Meret, Malcuit, Mario Rui, and Lozano have been tested positive for coronavirus, we do not believe that there is a big value in betting on the home side. 

La Samp, on the other hand, suffered a 2-1 loss to Cagliari in their first game of the year. The visitors are desperate to grab something from Sunday’s match, and given the number of absentees in the home team, we are tempted to put our money on draw. Candreva is banned for the visiting side, while both Falcone and Augello are quarantined. All Yoshida, Damsgaard, and Verre miss out with injuries.",N
52,Fiorentina,Juventus,2019-09-14,N,,NAN
49,Inter,Udinese,2019-09-14,V,"After recording a routine 2-0 win over Empoli, Inter will be aiming to melt Milan’s advantage in the Serie A table when they host Udinese to their Stadio Giuseppe Meazza. The Nerazzurri are eyeing their third home win of the process, and they are likely to go all guns blazing at the Zebrette. Simone Inzaghi should have a full squad to choose from this time out, except for Christian Eriksen, who remains on the sidelines through heart problems. 

Both Edin Dzeko and Arturo Vidal are pushing for a start. Udinese, on the other hand, head into the match following a 1-1 draw with Verona. The Zebrette were beaten by Inter in each of the previous three meetings between the two sides in Milano, which is yet another reason why we are tempted to put our money on the hosts. Gerard Deulofeu should be the only absentee in the away team. ",V
61,SPAL,Lazio,2019-09-15,V,"SPAL will be aiming to make amends for back-to-back losses to the likes of Atalanta and Bologna when they host Lazio at their Stadio Paolo Mazza on Sunday afternoon. The hosts are desperate to grab something from the match, but beating the Biancocelesti, who have been in a fine form at the start of the season is easier said than done. 

The capital club impressed in their opener, with the team rolling over Sampdoria 3-0 in Genoa and they head into Sunday’s football match following a 1-1 draw with Roma in the fierce local derby. A man to keep an eye on in the away team will be Ciro Immobile, who found the net for Italy in a 2-1 win over Finland. Lazio are more of a team than SPAL and seeing that the hosts made a slow start to the season, we are tempted to put our money on the away team.",P
70,Roma,Sassuolo,2019-09-15,V,"Roma will look to climb to top position in the standings when they take on Sassuolo at their Stadio Olimpico. As things stand now, new boss Jose Mourinho is doing a great job with the capital club, who kicked off the new Serie A campaign with back-to-back wins over Fiorentina and Salernitana. The Giallorossi are likely to stick to their attacking style of play, but keep in mind that both Smalling and Spinazzola remain in the recovery room. 

The likes of Pellegrini, Vina, and Mancini are rated doubtful for the game. The Neroverdi, on the other hand, defeated Verona 3-2 in their first away game of the season, and, taking everything into account, we believe that there is a big value in betting on over 2.5 goals. Midfielder Pedro Obiang should be the only absentee in the away team, whilst Roma defenders should have Domenico Berardi at bay.",V
62,Hellas Verona,Milan,2019-09-15,P,"Verona and Milan square off against each other in the “City of Love” in what is expected to be an interesting Serie A clash. Verona are still looking for their best form, with the team extending their losing run to four games at Salernitana, and, as a result, the bookies see them as underdogs in Sunday’s showdown. Defender Federico Ceccherini is banned for the match, but there are no fresh injury worries in the home team. 

The Rossoneri, on the other hand, proved their worth in the Serie A derby, with the team recording a routine 2-0 win over Juventus. Stefano Pioli’s men aim to give fans yet another reason for celebration, and given their current situation in Verona’s dressing room, away win should definitely be considered. Keep in mind, though, that Milan’s injury list is pretty long, including the likes of Simon Kjaer, Zlatan Ibrahimovic, Mike Maignan, Alessandro Florenzi, Alexis Saelemaekers, and Davide Calabria.",P
66,Brescia,Bologna,2019-09-15,P,"Balotelli-less Brescia will be looking to make amends for a 1-0 loss to Milan at Stadio San Siro when they take on Bologna on Matchday 3. The newcomers are determined to secure the Serie A survival, but seeing that they will be without suspended attacker Mario Balotelli against Bologna, home win should not be considered. The Rossoblu, on the other hand, are playing for coach Sinisa Mihajlovic, who is coping with serious illness and we are positive that they are going to leave their hearts on the field. 

Bologna recorded a hard-fought 1-0 win over SPAL at home on Matchday 2, but seeing that they are not regarded as good travelers, we believe that there is a big value in betting on draw. You should bear in mind that the two teams shared the spoils in their last meeting in a competitive match. ",N
59,Parma,Cagliari,2019-09-15,P,"Parma were on the verge of beating Milan at Stadio San Siro in their last league fixture, but Theo Hernandez eventually scored a late goal to save one point for the Rossoneri. The Gli Emiliani once again proved their worth in the game against the title-chasing team, with the team extending their unbeaten run in all competitions to four games. 

Parma aim to climb to the top half of the table, and they are surely capable of beating Cagliari, who are low on confidence following a heart-breaking 3-1 loss to Inter. The Sardinians are on a four-game winless run in the Serie A, and given Parma’s display in the draw with Milan, home win should be considered. Fabio Liverani can count on key players for the midweek clash, which is yet another reason why we are tempted to put our money on the hosts. ",V
67,Genoa,Atalanta,2019-09-15,P,"Atalanta will look to make amends for a heavy 4-1 loss to Roma when they take on Genoa at Stadio Luigi Ferraris on Tuesday evening. Atalanta want to retain their spot in top four, and it seems as if they will not have a better chance than this to get back on course. Both Malinovsky and Miranchuk should be recalled to the starting XI, while Gosens is out of contention with injury. 

The Rossoblu, on the other hand, are not enjoying a season to remember, with the team collecting only ten points in total to date. Considering that Genoa extended their losing run to four games at Stadio Olimpico on Friday, we believe that there is a big value in betting on the visitors. All Cassata, Fares, Rovella, and Caicedo are sidelined with injuries for the home team. ",P
73,Torino,Lecce,2019-09-16,P,,NAN
75,Cagliari,Genoa,2019-09-20,V,"Sunday’s football game at Sardegna Arena pits together Cagliari and Genoa, the two teams who are eyeing their first wins of the season. The Sardinians kicked off the new Serie A campaign with a 2-2 draw with Spezia, with the team suffering a heavy 4-1 loss at Milan before the international break. Cagliari are eager to give fans some cheer, but this match will be anything but a walk in the park for the home team. 

Both Rog and Cragno are sidelined through injuries for the hosts. The Genoese, on the other hand, are stuck in the relegation zone with the goal difference of 1:6. Considering that the visitors are eager to return to winning ways as well, we believe that there is a big value in betting on both teams to score. Bani remains on the sidelines with a muscle injury, but he should be the only absentee in the visiting side. ",N
81,Udinese,Brescia,2019-09-21,P,"Brescia will be looking to make amends for a shocking 4-3 loss to Bologna when they take on Udinese at Dacia Arena on Saturday afternoon. Le Rondinelle dropped a two-goal advantage in the defeat to Sinisa Mihajlovic’s troops, meaning that the lack of confidence could prove to be a big problem for the visitors in the Dacia Arena clash. Mario Balotelli remains on the sidelines through suspension, whilst the hosts will be without Rodrigo de Paul, who was sent off in a 1-0 loss to Inter at Stadio Giuseppe Meazza. 

Udinese are a real force to be reckoned with at home, but seeing that the newcomers produced a fine performance in the 4-3 loss to the Rossoblu, we are tempted to put our money on draw. In their last meeting in the Italian top flight back in 2011 the two teams played out a goalless draw. ",N
82,Milan,Inter,2019-09-21,P,,NAN
78,Juventus,Hellas Verona,2019-09-21,V,"Following a goalless draw with Milan, Juventus will look to start a new winning run in the Serie A when they take on Verona at Allianz Stadium. The Bianconeri are only one point behind the Champions League berth, and they are likely to go all guns blazing at the Mastini. Weston McKennie is back from international duty, while Federico Chiesa remains in the recovery room. Summer signing Locatelli misses out through suspension, while both Perin and Alex Sandro have been tested positive for coronavirus. 

Verona, on the other hand, were producing fine displays before the international break, with the team beating both Sassuolo and Bologna. The Mastini, though, often struggle on the travels, which is probably the main reason why home win should be considered. Simeone is banned for the visitors, while both Frabotta and Dawidowicz are out of contention with injuries. ",V
96,Atalanta,Fiorentina,2019-09-22,N,"All eyes will be on Gewiss Stadium when Atalanta and Fiorentina face each other in the Serie A round 8. The Orobici aim to overtake Napoli in top position, and we are positive that they will go all guns blazing at the Viola this weekend. Goalkeeper Juan Musso has joined Duvan Zapata and Berat Djimsiti in the treatment room, but there are no suspended players in the home team. 

Fiorentina, on the other hand, proved their worth in a 2-0 home win over Verona, but given their anything but good away record in the 2022/2023 Serie A campaign, we believe that there is a big value in betting on the hosts. To make things even worse for the visiting side, important players Castrovilli, Milenkovic, and Amrabat are out of contention through injuries, as well as Dodo and Gollini.",V
94,Sassuolo,SPAL,2019-09-22,V,"Sassuolo will be aiming to make amends for a 4-2 loss to Roma when they welcome SPAL at their MAPEI Stadium – Citta del Tricolore on Matchday 4. The Neroverdi are eyeing their second win of the season, whilst the Gli Spallini are brimming with confidence ahead of the trip to Reggio nell’Emilia as they came from behind to beat Lazio on Matchday 4. 

A close encounter is on the horizon at MAPEI Stadium – Citta del Tricolore and given the attacking potential of the two sides, we believe that there is a big value in betting on both teams to score. A man to watch in the away team will be Andrea Petagna, whilst SPAL defenders should have Domenico Berardi, who has already netted five goals in the new season, at bay. In their last meeting in the Italian top flight the two clubs played out a 1-1 draw. ",N
86,Bologna,Roma,2019-09-22,P,"Stadio Renato Dall’Ara will host Wednesday’s football game between Bologna and Roma, the two top-table sides. The Rossoblu aim to build on a hard-fought 1-0 win over Spezia, but the Giallorossi will pose a much bigger threat for the hosts than their previous rivals. Austria international Marko Arnautovic, who scored the winner from the penalty spot at the weekend, will be the man to watch in the home team, while all De Silvestri, Michael, and Skov Olsen should miss out with injuries. 

The Romans, as expected, defeated Torino at home thanks to Tammy Abraham’s goal. Jose Mourinho’s troops are eager to stay in the Champions League, and we are positive that they will go for a win in the midweek clash. Since Bologna are a real force to be reckoned with at home, both teams to score betting option should be considered. Veretout is banned for the match, while all Spinazzola, Villar, and Cristante are in the recovery room. ",N
91,Sampdoria,Torino,2019-09-22,V,"Stadio Luigi Ferraris will host Saturday’s Serie A game between Sampdoria and Torino, the two teams who sit in the opposite halves of the table. La Samp aim to make amends for back-to-back defeats to Cagliari and Napoli, and they are likely to fight tooth and nail against Il Toro. All Maya Yoshida, Valerio Verre, and Mikkel Damsgaard are sidelined with injuries, while defender Omar Colley is on Africa Cup of Nations. 

Torino, on the other hand, impressed in a thrilling 4-0 win over Fiorentina, with the team moving closer to the Conference League berth. However, Il Toro are not regarded as good travelers, and that is the main reason why we are tempted to put our money on draw. Both Daniel Ansaldi and Ola Aina have been tested positive for coronavirus, whilst key attacker Andrea Belotti continues to miss out through injury. ",N
95,Lecce,Napoli,2019-09-22,P,"Lecce and Napoli, the two clubs from the Southern Italy, face each other at Stadio Comunale Via del Mare on day 4 of the new Serie A campaign. The Giallorossi are eyeing their first win of the season, but beating the star-studded Neapolitans is easier said than done. Lecce did not make a flying start to the season and seeing that the Partenopei are eager to put an end to Juve’s dominance in the Italian top flight, we are positive that the visitors will leave their hearts on the field in Sunday’s football match. 

Dries Mertens, who scored a brace in a 2-0 win over Sampdoria and we predict that the Belgium international is going to prove a handful for the opposition defenders. Napoli are more of a team than Lecce, who are likely to find it has to survive in the Italian top flight. ",P
89,Lazio,Parma,2019-09-22,V,"Lazio and Parma, the two teams who sit in the opposite halves of the table, take on each other at Stadio Olimpico in the Serie A round 36. Despite the 2-0 loss to Fiorentina, the Biancocelesti are on the right track to book their place in the Europa League as they are six points clear of sixth-place Roma. Midfielder Andreas Pereira is banned for the match, while both Escalante and Caicedo are likely to miss the game through injuries. 

The Gli Emiliani, on the other hand, are having a season to forget as they failed to secure the Serie A survival. Parma are on a six-game losing run in the Italian top flight, and we do not believe that they are capable of spoiling Lazio’s party in the “Eternal City”. Even though midfielder Hernani returns from suspension, we are not tempted to put our money on the underdogs, who are low on confidence ahead of the trip to Rome. ",V
100,Hellas Verona,Udinese,2019-09-24,N,"Stadio Marc’Antonio Bentegodi will host Monday’s Serie A game between Verona and Udinese, the two teams who sit in the opposite halves of the table. The Mastini aim to escape the danger zone, but their displays in back-to-back defeats to Lazio (0-2) and Fiorentina (0-2) are not giving fans a reason for optimism. There are no fresh injury worries in the home team, but experienced midfielder Miguel Veloso could sneak into the starting XI. 

The Zebrette, on the other hand, have been performing above expectations in the 2022/2023 season, with the team extending their winning run to five games against title-chasing Inter. Since the visitors are high on confidence ahead of the trip to the “City of Love”, we believe that there is a big value in betting on the away side. Defensive duo Adam Masina – Leonardo Buta remains in the recovery room.",P
104,Brescia,Juventus,2019-09-24,P,"After dropping two points in a goalless draw with Fiorentina, Juventus recorded a hard-fought 2-1 win over Hellas Verona at the weekend. The Bianconeri aim to overtake Inter in top position in the Serie A standings and we predict that they will go all guns blazing at Brescia on Matchday 5. Maurizio Sarri’s troops are eager to take on Inter on day 7 with six points in their pocket from matches against Brescia and SPAL. 

Cristiano Ronaldo, who scored from the penalty spot against Hellas Verona, will be the man to watch in the away team. Mario Balotelli returns from suspension for the hosts and all eyes will be on the former Inter and Milan attacker when the two teams face each other at Stadio Mario Rigamonti on Tuesday evening. Anyhow, seeing that Maurizio Sarri can count on key players for the Brescia game, away win should be considered.",P
111,Napoli,Cagliari,2019-09-25,P,"Napoli play host to Cagliari at their Stadio Diego Armando Maradona in the Serie A round 6. The Neapolitans aim to build on thrilling back-to-back wins over Udinese (4-0) and Sampdoria (4-0), and they are likely to stick to their attacking style of play. A man to watch in the home team will be Nigeria international Victor Osimhen, who scored a brace in the midweek triumph, while Greece international Konstantinos Manolas is likely to return to the starting XI. 

Slovakia midfielder Stanislav Lobotka is out of contention through injury. The Sardinians, on the other hand, failed to impress in a 2-0 loss to Empoli, and given their shaky defence, anything but a routine home win would be a major surprise. Zappa is banned for the visitors, while both Ceter and Rog are out of contention with injuries. Diego Godin and Kevin Strootman are pushing for a start.",V
121,Fiorentina,Sampdoria,2019-09-25,V,"Fiorentina and Sampdoria face each other in a highly-anticipated Serie A game at Stadio Artemio Franchi. The Viola aim to bounce back from a heart-breaking loss to their local rivals Empoli, and they are surely capable of matching La Samp in front of home fans. Serbia rising start Dusan Vlahovic, who scored his 11th goal of the season in the Tuscan derby, will be the man to keep an eye on in the home team, whilst all Benassi, Dragowski, Nastasic, and Pulgar should miss out with injuries. 

Roberto D’Aversa’s troops, on the other hand, came from behind to beat Verona 3-1 in their last league match. The bad news for the visitors, though, is that defender Alex Ferrari limped off with injury at the weekend. Since Sampdoria are not regarded as good travelers, we are tempted to put our money on Dusan Vlahovic and Co. this time out. ",V
110,SPAL,Lecce,2019-09-25,P,"Following a thrilling 2-1 win over Lazio at their Stadio Paolo Mazza, SPAL experienced all sorts of problems at the back in a 3-0 loss at Sassuolo at the weekend. The Gli Estensi sit in the danger zone in the Serie A standings ahead of Matchday 5 and seeing that Lecce were outclassed by Napoli (1-4) in their last league fixture, we are positive that the hosts are going to grab something from Wednesday’s football game at Stadio Paolo Mazza. 

The Giallorossi have already suffered three defeats in the new Serie A campaign and seeing that SPAL are a real force to be reckoned with at home, we predict that the newcomers are going to return home empty-handed from the trip to Ferrara. It has to be noted that the two clubs meet for the first time ever in the Italian elite division. ",V
107,Genoa,Bologna,2019-09-25,N,"Genoa play host to Bologna at Stadio Comunale Luigi Ferraris on the last day of the season. Genoa suffered a 3-0 loss to Napoli at the weekend, with the Partenopei ruining their survival hopes. The hosts are low on spirits ahead of the visit of Bologna, meaning that home win should not be considered. All Sturaro, Maksimovic, and Vanheusden are sidelined with injuries, while Badelj is a major doubt. 

Sinisa Mihajlovic’s men, on the other hand, suffered a dip in form, with the team losing to both Venezia and Sassuolo in the previous two league fixtures. Anyhow, both teams to score betting option should be considered as both sides will be with guards down in Saturday’s clash. Sinisa Mihajlovic has a full squad to choose from for the last game of the season. In the first half of the season the two sides played out a 2-2 draw.",N
