,home,date,result,goals,away,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,season,rank_h,rank_a,description,prediction
10,frosinone,2018-08-26,N,0.0,bologna,-7.0,-3.0,0.0,0.0,1.0,-5.0,-1.0,-1.0,2018-2019,0.0,0.0,"Despite creating several clear-cut chances to score against SPAL, Bologna eventually failed to grab something from the opening match of the season. The Rossoblu deserved to pick up at least one point from their opener, but they will have a chance to get back on course on Sunday as they take on newcomers Frosinone at Stadio Benito Stirpe. Bologna produced a fine display in the 1-0 loss to SPAL and that is the main reason why we predict they are going to beat Frosinone on Matchday 2. The Canarini are determined to give fans some cheer on their return to the Italian top flight, but seeing that they were struggling in both pre-season and Coppa Italia game against Suditrol, we believe that there is a big value in betting on the visitors. In their last meeting in the Serie A Frosinone emerge triumphant, meaning that Bologna are hungry for revenge.",P
11,genoa,2018-08-26,V,1.0,empoli,-8.0,-1.0,0.0,0.0,-36.0,-1.0,1.0,0.0,2018-2019,0.0,0.0,"Buoyed by a thrilling 4-0 win over Lecce in the Coppa Italia, Genoa take on Empoli at their Stadio Comunale Luigi Ferraris in their first game of the new Serie A campaign. The Rossoblu were not into action at the weekend as their game against Milan was postponed, whereas Empoli recorded a 2-0 win over Cagliari on their return to the Italian top flight. The newcomers are a real force to be reckoned with at home, but they often struggle on the travels, which is the main reason why we are tempted to put our money on Genoa. The Rossoblu have turned their Stadio Comunale Luigi Ferraris into a real fortress, therefore, we predict that the hosts are going to emerge triumphant in Sunday’s football match. A man to watch in the home team will be summer signing Piatek, who scored four goals in the victory over Lecce.",V
12,spal,2018-08-26,V,-1.0,parma,3.0,1.0,0.0,0.0,15.0,1.0,0.0,0.0,2018-2019,0.0,0.0,"Stadio Paolo Mazza will host Sunday’s football game between SPAL and Parma. SPAL did remarkably well to beat Bologna on the road in the opening match of the season, whereas Parma shared the spoils with Udinese in their opener. The newcomers dropped a two-goal advantage in the 2-2 draw with the Zebrette, but they showed everybody that they are capable of producing fine performances in the Italian top flight. SPAL were impressive at home ground in the last season finale and they are definitely capable of grabbing something from their first home game of the season. Anyhow, a close encounter is on the horizon and we predict the two teams are going to share the spoils at Stadio Paolo Mazza. You should bear in mind that the two teams meet for the first time ever in the Italian top flight.",N
13,cagliari,2018-08-26,N,-1.0,sassuolo,4.0,1.0,-1.0,-1.0,14.0,-3.0,0.0,0.0,2018-2019,0.0,0.0,"Cagliari will be aiming to make amends for a 2-0 loss to Empoli when they host Sassuolo at their Sardegna Arena on Sunday evening. The Rossoblu are determined to get back on course as quickly as possible and we predict that they will go all guns blazing at the Neroverdi on day 2 of the new Serie A campaign. However, they will have a big fish to fry in Sunday’s football match against Sassuolo as the visitors defeated Inter in the opening game of the season. The Neroverdi aim to give fans yet another reason for celebration and seeing that Cagliari experience all sorts of problems at the back in the defeat to Empoli, away win should be considered. Considering that the hosts are likely to adopt an attack-minded approach in the Sardegna Arena clash, we are positive that the visitors will have a number of opportunities to score on the break.",P
14,udinese,2018-08-26,V,1.0,sampdoria,2.0,3.0,0.0,0.0,-26.0,0.0,-2.0,0.0,2018-2019,0.0,0.0,"Dacia Arena will host Sunday’s football game between Udinese and Sampdoria. The Zebrette did well to come from two goals behind and share the spoils with Parma in their opener, whilst Sampdoria’s game against was postponed. Udinese were having their ups and downs in the 2017/2018 Serie A season and, no doubt, they want to record a good result in the Italian top flight this term. La Samp were producing fine performances in pre-season and that is probably the main reason why we predict the visitors are going to grab something from Sunday’s clash. Fabio Quagliarella is still part of the team and we believe that he is going to pose a big threat for the opposition defenders. Anyhow, share of spoils appears on the horizon in this one as the two teams seem to be evenly matched at the moment.",N
15,fiorentina,2018-08-26,V,5.0,chievo,12.0,8.0,0.0,0.0,-8.0,6.0,-2.0,0.0,2018-2019,0.0,0.0,"Fiorentina were not into action at the weekend as their match against Sampdoria at Stadio Comunale Luigi Ferraris was postponed. The Viola can’t wait for their Serie A campaign to begin and we predict that they are going to fight tooth and nail against Chievo when the two teams face each other at Stadio Artemio Franchi this weekend. It is well known that Fiorentina produce much better performances at home than on the travels and despite the fact that the Mussi Volanti made life difficult for Juve in their opener, we are tempted to put our money on Stefano Pioli’s troops. Chievo recorded only one win previous 15 away games in the Italian top flight, which is yet another reason why the visitors are likely to return home empty-handed from the trip to Florence. In their last meeting in the Serie A Fiorentina recorded a hard-fought 1-0 win over Chievo.",V
16,inter,2018-08-26,N,0.0,torino,2.0,-1.0,0.0,0.0,19.0,1.0,1.0,0.0,2018-2019,0.0,0.0,"Inter will be aiming to bounce back from a 1-0 loss to Sassuolo when they host Torino at their Stadio Giuseppe Meazza. The club chiefs did well to reinforce the squad in the summer transfer window, but that did not help them grab something from the opening game of the season. Luciano Spalletti’s troops are eager to return to winning ways and we predict that they are going to adopt an attack-minded approach in Sunday’s football game. Il Toro, on the other hand, suffered a 1-0 loss to Roma in front of home fans, with Edin Dzeko scoring the winner for the Gialorossi in the dying minutes of the match. Torino are not regarded as good travelers and seeing that Inter coach Luciano Spalletti is going to field the best possible side this time out, we believe that there is a big value in betting on the Nerazzurri.",V
17,roma,2018-08-27,N,-3.0,atalanta,2.0,-4.0,0.0,0.0,0.0,0.0,3.0,0.0,2018-2019,0.0,0.0,"Thanks to Edin Dzeko’s late goal Roma defeated Torino on the road in the opening match of the season. The Giallorossi are brimming with confidence ahead of their first home game of the season, but Monday’s football match against Atalanta will be anything but a walk in the park for the capital club. Roma have big ambitions for the 2018/2019 Serie A campaign and we predict that they will go all guns blazing at the Orobici on Monday evening. Atalanta are not regarded as good travelers, but seeing that they have been scoring goals for fun in the Europa League qualifiers, we believe that the visitors are going to grab something from the Roma showdown. A lively contest is on the horizon and, taking everything into account, we believe that the two teams are going to play out a high-scoring draw at Stadio Olimpico.",N
18,milan,2018-08-31,V,0.0,roma,-15.0,-4.5,0.0,0.0,-7.5,0.5,0.0,0.0,2018-2019,0.0,0.0,"After the Week 1 game was cancelled, Milan played Napoli in Week 2 and were defeated by a result of 3:2 after being 2:0 up. On the other hand, Roma have won their opening game against Torino 1:0 and are expecting a tough game against Atalanta, in the last match of Round 2. AC Milan have strengthened their squad with the arrivals of Higuaín, Calhanoglu, Silva and Rodriguez. Higuaín will try to cement his place in the team after being the casualty of Juventus signing Ronaldo. The biggest departures from Roma were their goalkeeper Alisson who went to Liverpool, together with Nainggolan who went to Inter. They brought in Nzonzi from Sevilla and a couple of other players. The biggest threat from Roma will still be Edin Dzeko while Milan will attack with Higuaín on top. It will be a tight match, with the Rossoneri looking to change tactics after they fell to Napoli. We predict a score draw.",N
19,parma,2018-09-01,P,-1.5,juventus,-15.5,-6.0,0.0,0.0,-20.5,6.5,0.5,0.0,2018-2019,0.0,0.0,"Parma have just been promoted from Serie B. In their first match back they drew with Udinese only to lose to SPAL in their second match of the season. Juventus have started strongly, as it was expected of them after signing Cristiano Ronaldo from Real Madrid in the most talked about transfer of this year. They managed to defeat Chievo after going 2:1 down and then Lazio in Week 2, with a 2:0 score with Ronaldo getting his first assist. Generally, Juventus has had a lot of success against Parma over the years. The last time Juve were defeated by Parma was in 2011. Fans will fill the seats at the Il Tardini stadium to watch Ronaldo play against their team. Parma won’t be able to hold back Juventus and is likely to lose again this season. Juventus is a sure favourite for this match; it’s just a question of what will be the final score.",P
20,bologna,2018-09-01,P,-1.0,inter,1.5,-1.0,0.0,0.0,-13.0,0.5,0.5,0.5,2018-2019,0.0,0.0,"Inter Milan, one of the teams who brought in a lot of new players this season, went down to a shocking defeat against Sassuolo, losing 1:0. In their next game, they drew 2:2 with Torino. Now they are looking for a much improved performance against hosts Bologna at the Renato Dall’ara stadium. Coach Spalletti will probably shake up his Inter team. Bologna have lost their opening match against SPAL and then played out a goalless draw with the newcomers Forsinone. Both teams have started in bad form and will look to correct that in this match. Sime Vrsaljko might be a feature after not playing in the first game as Spalletti will look to shore up the defence. Bologna will miss Nagy after his red card. The last time Bologna defeated Inter was in 2013. Inter has an excellent head to head record against Bologna. We predict for Inter to get their first win of the season.",P
21,sassuolo,2018-09-02,V,-0.5,genoa,-0.5,0.0,1.0,1.0,17.0,3.5,0.0,0.5,2018-2019,0.0,0.0,"Sassuolo became a sensation in Italy after their shock victory over Inter Milan in their opening match of the 2018/19 season. Showing everyone it wasn’t luck, they got a point away in Cagliari in their second game. Genoa was supposed to play AC Milan in their opening game which was cancelled. In week 2 of the season, they played host to the promoted Empoli and won 2:1. Now they go to Reggio nell’Emilia, to the Citta del Tricolore stadium where they are sure to get an energized reception by the Sassuolo home fans. Both Genoa forwards, Piatek and Kouame scored against Empoli and they will surely be leading the attack against Sassuolo. They, on the other hand, will have Berardi up front, who has managed to score in both of the opening matches of the season. Genoa are favourites, but it will be a tough game and we predict a score draw.",N
22,sampdoria,2018-09-02,V,-2.5,napoli,-1.5,-3.0,0.0,0.0,5.5,2.5,2.0,0.0,2018-2019,0.0,0.0,"Sampdoria didn’t play their first match of the season because of the cancellation and have lost to Udinese in the second game. For their opening match, Napoli beat Lazio 2:1. In week 2, they came back from two goals down to beat AC Milan 3:2, in what was also the first match Carlo Ancelotti coached against his old team. While it’s still early days, things are looking good for Napoli. Sampdoria didn’t impress in their one and only game this season, but now they are back at Stadio Comunale Luigi Ferraris, they might perform better in front of the home crowd and surprise their opponents. But they will have to work hard and overcome a trend of Napoli beating them. The last time Sampdoria defeated Napoli was in the last game of the 2009/10 season. The key player for Sampdoria will be Quagliarella who will try to lead his team to victory. Still, we predict an away win.",P
23,chievo,2018-09-02,N,0.0,empoli,-7.5,-2.0,0.5,0.5,-16.5,-7.5,0.0,0.0,2018-2019,0.0,0.0,"Chievo couldn’t have had a tougher schedule in the first two weeks of the new season and they couldn’t had the worse results, after losing two games and already conceding eight goals. Thankfully, they now have an easier game, at least on paper, against Empoli, who have been promoted from Serie B this year. In reality though, Empoli already have one win under their belt, since they beat Cagliari 2:0 in their opening match. Now, they will be looking to add a further blow to Chievo at their own Marc’Antonio Bentegodi Stadium in Verona. Both sides will be highly motivated to win which should make for an interesting game. The key players for Chievo will be the squad captain Radovanovic and the three attackers, Birsa, Stepinski and Giaccherini. Empoli will look for some magic from their captain and main forward, Caputo. It’s one of those games that could go both ways but we predict a first victory for Chievo this season.",V
24,atalanta,2018-09-02,P,2.5,cagliari,5.0,3.5,0.0,0.0,4.5,-2.5,-3.0,0.0,2018-2019,0.0,0.0,"Atalanta started with a statement in their first match of the season by comprehensively beating the newly promoted Frosinone side 4:0. In their Week 2 match, they play Roma and after that Cagliari. Cagliari started this year’s Scudetto by losing 2:0 to Empoli, promoted from Serie B. They did better in the second match narrowly missing out on a win after Sassuolo scored in the ninth minute of time added on. These two teams will be evenly match when the match kicks-off at the Atleti Azzurri d’Italia Stadium. In their previous eight encounters they split the honours with each winning four times. So it’s not likely the game will finish tied, as the last time that happened was in 2013. Cagliari will have a chance as Atalanta will have to battle for the Europa League spot against FC Copenhagen on Thursday, just three days before the Scudetto game.",V
25,lazio,2018-09-02,V,0.5,frosinone,1.0,0.0,0.0,0.0,-6.0,-4.0,-1.0,0.0,2018-2019,0.0,0.0,"The Stadio Olimpico in Rome will play host to a match between Frosinone, who earned promotion from Serie B and Lazio, who had a tough two games. First they played last season’s runners-up, Napoli, scored first but lost 2:1 in the end. In their second game they went against the Scudetto Champions from last year, Juventus and lost 2:0. Some might say that they have done well to only concede four goals. Frosinone played Atalanta in their first game back and were heavily defeated 4:0. The week after they managed to get a point with a goalless draw against Bologna. Now they go to Lazio who will look to take their frustrations out on someone. One of the key players for Lazio will be Milinkovic-Savic who’s been the centre of this summer’s transfer rumours in Rome but nothing panned out in the end. Immobile has got one for Lazio against Napoli and will want to carry on scoring against Frosinone. ",V
26,fiorentina,2018-09-02,V,4.5,udinese,4.5,6.5,-0.5,-0.5,-0.5,2.0,-0.5,0.0,2018-2019,0.0,0.0,"Fiorentina didn’t play their week 1 game against Sampdoria because the game was cancelled and postponed to a later date. In Week 2 of the Scudetto, Fiorentina demolished Chievo scoring six goals in the process. Udinese drew with Parma in the opening match and narrowly beat Sampdoria in the second match of the season. Neither team played exceptionally well in their pre-season games. Fiorentina will use the support of their home fans at the Artemio Franchi stadium to beat the tough Udinese side. They have Champions League ambitions and Coach Pioli will be happy if they continue their performance against Udinese. However, Udinese Coach Velazguez is bound to have other ideas. Even though he was happy with the win against Sampdoria, he will look to make changes to find out what his best first eleven are, led of course by their captain Valon Behrami. Still, we predict a narrow Fiorentina win.",V
27,torino,2018-09-02,V,0.0,spal,-3.0,0.0,0.0,0.0,-15.0,-1.5,-2.0,0.0,2018-2019,0.0,0.0,"Last year they have done well not get relegated from Serie A, but SPAL have started this year with a bang. First they defeated Bologna away 1:0 and in the second game Parma at home, also with a 1:0 score. Torino conceded a late goal to lose against Roma 1:0 in the opening game, but they battled to secure a point against Inter in the second game, after going 2:0 down in the first half. This match sees them welcome SPAL to the Stadio Olimpico Grande Torino. While they are overjoyed with six points, SPAL coach, Leonardo Semplici remains humble and knows that the main target this season is survival in Serie A. Torino finished 9th last year and if they are to do better this year, they must beat sides like SPAL, home and away. European football is a great incentive for the team. We predict a home win.",V
28,frosinone,2018-09-15,P,-1.5,sampdoria,-3.5,-1.0,0.0,0.0,-12.666666666666664,0.0,-0.5,0.0,2018-2019,0.0,0.0,"As expected, Frosinone were beaten by Lazio at Stadio Olimpico on day 3 of the new Serie A campaign. The newcomers have been struggling at the start of the season, with the team failing to find the net in the first three league fixtures. The Canarini are eager to give fans some cheer, but they will have a big fish to fry in Saturday’s football match against Sampdoria, who rolled over star-studded Napoli in their last league match. La Samp proved their worth in the triumph over the Partenopei, with Gregoire Defrel scoring a brace and we predict that the French attacker is going to lead the visitors to yet another triumph. Frosinone do not seem to be on top of their game ahead of the visit of Sampdoria and there is every chance Marco Giampaolo’s men will record their second win of the season.",P
29,napoli,2018-09-15,V,-1.8333333333333333,fiorentina,0.3333333333333321,-1.666666666666667,0.0,0.0,1.3333333333333357,-0.5,0.0,0.0,2018-2019,0.0,0.0,"All eyes will be on Stadio San Paolo when Napoli take on Fiorentina on day 4 of the new Serie A campaign. Napoli aim to bounce back from a heavy 3-0 defeat to Sampdoria, but Saturday’s football match against Fiorentina will be anything but a walk in the park for the Partenopei. Carlo Ancelotti’s troops are likely to leave their hearts on the field and we believe that they are going to find the net on Matchday 4. The Viola, on the other hand, aim to keep their 100% record intact and they are likely to stick to their attacking style of play against Napoli. A lively contest is on the cards and we predict that the two teams are going to play out a high-scoring draw in Naples. You should bear in mind, though, that the two teams played out a goalless draw in their last meeting at Stadio San Paolo.",N
30,inter,2018-09-15,P,0.6666666666666667,parma,4.333333333333334,1.0,0.0,0.0,22.66666666666667,-4.000000000000002,-0.3333333333333335,0.0,2018-2019,0.0,0.0,"Inter will be aiming to build on a 3-0 win over Bologna when they host Parma at their Stadio Giuseppe Meazza on Saturday afternoon. The Nerazzurri have been scoring goals for fun at the start of the season and there is every chance they will go all guns blazing at the newcomer on Matchday 4. Mauro Icardi wants to continue where he left last season and, no doubt, he will give 100% to open his goal-scoring account this weekend. Inter are a real force to be reckoned with at home and considering that the newcomers have been struggling at the back at the start of the season, we are tempted to put our money on the Nerazzurri. Yet another man to watch in the home team will be Ivan Perisic, who impressed at the 2018 FIFA World Cup finals, helping Croatia make it to the final of the showpiece tournament.",V
31,udinese,2018-09-16,N,0.0,torino,2.0,-2.0,0.3333333333333333,0.3333333333333333,-3.0,-0.6666666666666661,0.0,0.0,2018-2019,0.0,0.0,"Udinese and Torino face each other at Dacia Arena in what is expected to be one of the most entertaining games of Sunday’s program in the Serie A. Udinese aim to bounce back from a 1-0 loss to Fiorentina and the fact that they defeated Sampdoria in their first home game of the season is surely giving fans a reason for optimism ahead of the visit of Torino. Il Toro, on the other hand, head into the game following a hard-fought 1-0 win over SPAL, but seeing that their away record in the Serie A is anything but good, we do not believe that there is a big value in betting on the visitors. As previously mentioned, a lively contest is on the horizon and we predict that both teams to score bet should be considered. In their last meeting at Dacia Arena Il Toro recorded a 3-2 win over the Zebrette.",N
32,juventus,2018-09-16,V,-0.333333333333333,sassuolo,12.000000000000002,3.0,-0.6666666666666666,-0.6666666666666666,16.666666666666664,-8.333333333333334,-1.0,-0.3333333333333333,2018-2019,0.0,0.0,"Despite the fact that Cristiano Ronaldo has yet to open his goal-scoring account, Juventus made a flying start to the season. The Bianconeri recorded a win in each of their first three league fixtures and the title holders will be looking to keep their 100% record intact when they host Sassuolo at their Allianz Stadium. Juve are a real force to be reckoned with at home and seeing that CR7 is eager to score his first ever goal in the Serie A, we predict that Max Allegri’s troops are going to pick up all three points from Sunday’s football match. The Neroverdi, on the other hand, have been scoring goals for fun at the start of the season, with the team rolling over Genoa 5-3 in their last league fixture. Sassuolo, though, often struggle on the travels, which is yet another reason why we are tempted to put our money on the Bianconeri.",V
33,cagliari,2018-09-16,N,-1.0,milan,-4.0,-2.5,0.0,0.0,-3.5,6.166666666666668,2.0,0.0,2018-2019,0.0,0.0,"Cagliari will be aiming to build on a hard-fought 1-0 win over Atalanta when they face yet another star-studded team in the 2018/2019 Serie A campaign. The Rossoblu play host to Milan at their Sardegna Arena on Matchday 4 and, no doubt, they would be happy with one point from Sunday’s football match. Cagliari are brimming with confidence ahead of the visit of the Rossoneri and seeing that they are a real force to be reckoned with at home, we believe that they are going to extend their unbeaten run in the Italian top flight to three games. Thanks to Cutrone’s late goal Milan defeated Roma in the Serie A derby, but seeing that the Rossoneri often struggle on the travels, we are tempted to put our money on the underdogs. A man to watch in the home team will be Leonardo Pavoletti, who has netted two goals in the new Serie A campaign to date.",V
34,roma,2018-09-16,N,0.6666666666666667,chievo,8.333333333333334,3.333333333333333,-0.3333333333333333,-0.3333333333333333,14.333333333333329,0.0,0.0,0.0,2018-2019,0.0,0.0,"Roma will be aiming to make amends to a 2-1 loss to Milan when they take on Chievo at their Stadio Olimpico. The Romans were more than unfortunate not to grab something from the Milan clash as the Rossoneri scored the winner in the stoppage time, but the Giallorossi should now focus on Sunday’s match against Chievo. It is well known that Roma have turned their Stadio Olimpico into a real fortress and seeing that the Mussi Volanti experienced all sorts of problems at the back in a 6-1 loss to Fiorentina, we believe that there is a big value in betting on the hosts. In their last meeting in the “eternal city” Roma crushed Chievo 4-1 and we predict that the history is going to repeat itself. As always, Bosnia international Edin Dzeko will lead the line for the capital club.",V
35,genoa,2018-09-16,V,2.5,bologna,4.0,1.6666666666666663,0.0,0.0,5.0,5.0,1.3333333333333333,-0.3333333333333333,2018-2019,0.0,0.0,"Genoa and Bologna take on each other at Stadio Comunale Luigi Ferraris on day 4 of the new Serie A campaign. Genoa experienced all sorts of problems at the back in a 5-3 loss to Sassuolo, but the fact that they defeated Empoli in their first home game of the season is certainly giving fans a reason for optimism ahead of Sunday’s football match. Davide Ballardini’s men produce much better showings at home than on the travels and seeing that Bologna have yet to find the net in the 2018/2019 Serie A campaign, we believe that home win should be considered. A man to watch in the home team will be Krzysztof Piatek, who has already netted three goals in the new season. Taking everything into account, we believe that there is a big value in betting on the hosts.",V
36,empoli,2018-09-16,P,0.3333333333333333,lazio,-0.3333333333333339,0.0,0.0,0.0,11.0,4.0,1.0,0.0,2018-2019,0.0,0.0,"Stadio Carlo Castellani will host Sunday’s football game between Empoli and Lazio, who have different ambitions for the 2018/2019 Serie A campaign. Empoli are eager to secure the Serie A survival, whilst Lazio, who managed to keep hold of Serbian superstar Sergej Milinkovic-Savic, are eyeing a place in the Champions League. The newcomers have been producing fine performances at the start of the season, with the team collecting four points from possible nine. The Azzurri are tough to beat at home and, no doubt, the Biancocelesti face a difficult task in Sunday’s clash. The capital club have been struggling to find their best form at the start of the season and that is probably the main reason why we predict the two teams are going to share the spoils at Stadio Carlo Castellani. It has to be noted that under 2.5 goals were scored in three of their last four meetings in the Italian top flight.",N
